REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
REGION1,LNDAGRBC1C01,51,2020,140.7533708
REGION1,LNDAGRBC1C01,53,2020,109.1288639
REGION1,LNDAGRBC1C01,54,2020,0.4193
REGION1,LNDAGRBC1C01,55,2020,27.31197873
REGION1,LNDAGRBC1C01,51,2021,140.7533708
REGION1,LNDAGRBC1C01,53,2021,109.1288639
REGION1,LNDAGRBC1C01,54,2021,0.4239
REGION1,LNDAGRBC1C01,55,2021,27.31197873
REGION1,LNDAGRBC1C01,51,2022,140.7533708
REGION1,LNDAGRBC1C01,53,2022,109.1288639
REGION1,LNDAGRBC1C01,54,2022,0.4286
REGION1,LNDAGRBC1C01,55,2022,27.31197873
REGION1,LNDAGRBC1C01,51,2023,140.7533708
REGION1,LNDAGRBC1C01,53,2023,109.1288639
REGION1,LNDAGRBC1C01,54,2023,0.4333
REGION1,LNDAGRBC1C01,55,2023,27.31197873
REGION1,LNDAGRBC1C01,51,2024,140.7533708
REGION1,LNDAGRBC1C01,53,2024,109.1288639
REGION1,LNDAGRBC1C01,54,2024,0.4381
REGION1,LNDAGRBC1C01,55,2024,27.31197873
REGION1,LNDAGRBC1C01,51,2025,140.7533708
REGION1,LNDAGRBC1C01,53,2025,109.1288639
REGION1,LNDAGRBC1C01,54,2025,0.4429
REGION1,LNDAGRBC1C01,55,2025,27.31197873
REGION1,LNDAGRBC1C01,51,2026,140.7533708
REGION1,LNDAGRBC1C01,53,2026,109.1288639
REGION1,LNDAGRBC1C01,54,2026,0.4478
REGION1,LNDAGRBC1C01,55,2026,27.31197873
REGION1,LNDAGRBC1C01,51,2027,140.7533708
REGION1,LNDAGRBC1C01,53,2027,109.1288639
REGION1,LNDAGRBC1C01,54,2027,0.4527
REGION1,LNDAGRBC1C01,55,2027,27.31197873
REGION1,LNDAGRBC1C01,51,2028,140.7533708
REGION1,LNDAGRBC1C01,53,2028,109.1288639
REGION1,LNDAGRBC1C01,54,2028,0.4577
REGION1,LNDAGRBC1C01,55,2028,27.31197873
REGION1,LNDAGRBC1C01,51,2029,140.7533708
REGION1,LNDAGRBC1C01,53,2029,109.1288639
REGION1,LNDAGRBC1C01,54,2029,0.4627
REGION1,LNDAGRBC1C01,55,2029,27.31197873
REGION1,LNDAGRBC1C01,51,2030,140.7533708
REGION1,LNDAGRBC1C01,53,2030,109.1288639
REGION1,LNDAGRBC1C01,54,2030,0.4678
REGION1,LNDAGRBC1C01,55,2030,27.31197873
REGION1,LNDAGRBC1C01,51,2031,140.7533708
REGION1,LNDAGRBC1C01,53,2031,109.1288639
REGION1,LNDAGRBC1C01,54,2031,0.4729
REGION1,LNDAGRBC1C01,55,2031,27.31197873
REGION1,LNDAGRBC1C01,51,2032,140.7533708
REGION1,LNDAGRBC1C01,53,2032,109.1288639
REGION1,LNDAGRBC1C01,54,2032,0.4782
REGION1,LNDAGRBC1C01,55,2032,27.31197873
REGION1,LNDAGRBC1C01,51,2033,140.7533708
REGION1,LNDAGRBC1C01,53,2033,109.1288639
REGION1,LNDAGRBC1C01,54,2033,0.4834
REGION1,LNDAGRBC1C01,55,2033,27.31197873
REGION1,LNDAGRBC1C01,51,2034,140.7533708
REGION1,LNDAGRBC1C01,53,2034,109.1288639
REGION1,LNDAGRBC1C01,54,2034,0.4887
REGION1,LNDAGRBC1C01,55,2034,27.31197873
REGION1,LNDAGRBC1C01,51,2035,140.7533708
REGION1,LNDAGRBC1C01,53,2035,109.1288639
REGION1,LNDAGRBC1C01,54,2035,0.4941
REGION1,LNDAGRBC1C01,55,2035,27.31197873
REGION1,LNDAGRBC1C01,51,2036,140.7533708
REGION1,LNDAGRBC1C01,53,2036,109.1288639
REGION1,LNDAGRBC1C01,54,2036,0.4995
REGION1,LNDAGRBC1C01,55,2036,27.31197873
REGION1,LNDAGRBC1C01,51,2037,140.7533708
REGION1,LNDAGRBC1C01,53,2037,109.1288639
REGION1,LNDAGRBC1C01,54,2037,0.505
REGION1,LNDAGRBC1C01,55,2037,27.31197873
REGION1,LNDAGRBC1C01,51,2038,140.7533708
REGION1,LNDAGRBC1C01,53,2038,109.1288639
REGION1,LNDAGRBC1C01,54,2038,0.5106
REGION1,LNDAGRBC1C01,55,2038,27.31197873
REGION1,LNDAGRBC1C01,51,2039,140.7533708
REGION1,LNDAGRBC1C01,53,2039,109.1288639
REGION1,LNDAGRBC1C01,54,2039,0.5162
REGION1,LNDAGRBC1C01,55,2039,27.31197873
REGION1,LNDAGRBC1C01,51,2040,140.7533708
REGION1,LNDAGRBC1C01,53,2040,109.1288639
REGION1,LNDAGRBC1C01,54,2040,0.5219
REGION1,LNDAGRBC1C01,55,2040,27.31197873
REGION1,LNDAGRBC1C01,51,2041,140.7533708
REGION1,LNDAGRBC1C01,53,2041,109.1288639
REGION1,LNDAGRBC1C01,54,2041,0.5276
REGION1,LNDAGRBC1C01,55,2041,27.31197873
REGION1,LNDAGRBC1C01,51,2042,140.7533708
REGION1,LNDAGRBC1C01,53,2042,109.1288639
REGION1,LNDAGRBC1C01,54,2042,0.5334
REGION1,LNDAGRBC1C01,55,2042,27.31197873
REGION1,LNDAGRBC1C01,51,2043,140.7533708
REGION1,LNDAGRBC1C01,53,2043,109.1288639
REGION1,LNDAGRBC1C01,54,2043,0.5393
REGION1,LNDAGRBC1C01,55,2043,27.31197873
REGION1,LNDAGRBC1C01,51,2044,140.7533708
REGION1,LNDAGRBC1C01,53,2044,109.1288639
REGION1,LNDAGRBC1C01,54,2044,0.5452
REGION1,LNDAGRBC1C01,55,2044,27.31197873
REGION1,LNDAGRBC1C01,51,2045,140.7533708
REGION1,LNDAGRBC1C01,53,2045,109.1288639
REGION1,LNDAGRBC1C01,54,2045,0.5512
REGION1,LNDAGRBC1C01,55,2045,27.31197873
REGION1,LNDAGRBC1C01,51,2046,140.7533708
REGION1,LNDAGRBC1C01,53,2046,109.1288639
REGION1,LNDAGRBC1C01,54,2046,0.5573
REGION1,LNDAGRBC1C01,55,2046,27.31197873
REGION1,LNDAGRBC1C01,51,2047,140.7533708
REGION1,LNDAGRBC1C01,53,2047,109.1288639
REGION1,LNDAGRBC1C01,54,2047,0.5634
REGION1,LNDAGRBC1C01,55,2047,27.31197873
REGION1,LNDAGRBC1C01,51,2048,140.7533708
REGION1,LNDAGRBC1C01,53,2048,109.1288639
REGION1,LNDAGRBC1C01,54,2048,0.5696
REGION1,LNDAGRBC1C01,55,2048,27.31197873
REGION1,LNDAGRBC1C01,51,2049,140.7533708
REGION1,LNDAGRBC1C01,53,2049,109.1288639
REGION1,LNDAGRBC1C01,54,2049,0.5759
REGION1,LNDAGRBC1C01,55,2049,27.31197873
REGION1,LNDAGRBC1C01,51,2050,140.7533708
REGION1,LNDAGRBC1C01,53,2050,109.1288639
REGION1,LNDAGRBC1C01,54,2050,0.5822
REGION1,LNDAGRBC1C01,55,2050,27.31197873
REGION1,LNDAGRBC1C02,51,2020,3.845411952
REGION1,LNDAGRBC1C02,53,2020,18.75016458
REGION1,LNDAGRBC1C02,54,2020,0.2777
REGION1,LNDAGRBC1C02,55,2020,3.997777286
REGION1,LNDAGRBC1C02,51,2021,3.845411952
REGION1,LNDAGRBC1C02,53,2021,18.75016458
REGION1,LNDAGRBC1C02,54,2021,0.2807
REGION1,LNDAGRBC1C02,55,2021,3.997777286
REGION1,LNDAGRBC1C02,51,2022,3.845411952
REGION1,LNDAGRBC1C02,53,2022,18.75016458
REGION1,LNDAGRBC1C02,54,2022,0.2838
REGION1,LNDAGRBC1C02,55,2022,3.997777286
REGION1,LNDAGRBC1C02,51,2023,3.845411952
REGION1,LNDAGRBC1C02,53,2023,18.75016458
REGION1,LNDAGRBC1C02,54,2023,0.2869
REGION1,LNDAGRBC1C02,55,2023,3.997777286
REGION1,LNDAGRBC1C02,51,2024,3.845411952
REGION1,LNDAGRBC1C02,53,2024,18.75016458
REGION1,LNDAGRBC1C02,54,2024,0.2901
REGION1,LNDAGRBC1C02,55,2024,3.997777286
REGION1,LNDAGRBC1C02,51,2025,3.845411952
REGION1,LNDAGRBC1C02,53,2025,18.75016458
REGION1,LNDAGRBC1C02,54,2025,0.2933
REGION1,LNDAGRBC1C02,55,2025,3.997777286
REGION1,LNDAGRBC1C02,51,2026,3.845411952
REGION1,LNDAGRBC1C02,53,2026,18.75016458
REGION1,LNDAGRBC1C02,54,2026,0.2965
REGION1,LNDAGRBC1C02,55,2026,3.997777286
REGION1,LNDAGRBC1C02,51,2027,3.845411952
REGION1,LNDAGRBC1C02,53,2027,18.75016458
REGION1,LNDAGRBC1C02,54,2027,0.2998
REGION1,LNDAGRBC1C02,55,2027,3.997777286
REGION1,LNDAGRBC1C02,51,2028,3.845411952
REGION1,LNDAGRBC1C02,53,2028,18.75016458
REGION1,LNDAGRBC1C02,54,2028,0.3031
REGION1,LNDAGRBC1C02,55,2028,3.997777286
REGION1,LNDAGRBC1C02,51,2029,3.845411952
REGION1,LNDAGRBC1C02,53,2029,18.75016458
REGION1,LNDAGRBC1C02,54,2029,0.3064
REGION1,LNDAGRBC1C02,55,2029,3.997777286
REGION1,LNDAGRBC1C02,51,2030,3.845411952
REGION1,LNDAGRBC1C02,53,2030,18.75016458
REGION1,LNDAGRBC1C02,54,2030,0.3098
REGION1,LNDAGRBC1C02,55,2030,3.997777286
REGION1,LNDAGRBC1C02,51,2031,3.845411952
REGION1,LNDAGRBC1C02,53,2031,18.75016458
REGION1,LNDAGRBC1C02,54,2031,0.3132
REGION1,LNDAGRBC1C02,55,2031,3.997777286
REGION1,LNDAGRBC1C02,51,2032,3.845411952
REGION1,LNDAGRBC1C02,53,2032,18.75016458
REGION1,LNDAGRBC1C02,54,2032,0.3166
REGION1,LNDAGRBC1C02,55,2032,3.997777286
REGION1,LNDAGRBC1C02,51,2033,3.845411952
REGION1,LNDAGRBC1C02,53,2033,18.75016458
REGION1,LNDAGRBC1C02,54,2033,0.3201
REGION1,LNDAGRBC1C02,55,2033,3.997777286
REGION1,LNDAGRBC1C02,51,2034,3.845411952
REGION1,LNDAGRBC1C02,53,2034,18.75016458
REGION1,LNDAGRBC1C02,54,2034,0.3236
REGION1,LNDAGRBC1C02,55,2034,3.997777286
REGION1,LNDAGRBC1C02,51,2035,3.845411952
REGION1,LNDAGRBC1C02,53,2035,18.75016458
REGION1,LNDAGRBC1C02,54,2035,0.3272
REGION1,LNDAGRBC1C02,55,2035,3.997777286
REGION1,LNDAGRBC1C02,51,2036,3.845411952
REGION1,LNDAGRBC1C02,53,2036,18.75016458
REGION1,LNDAGRBC1C02,54,2036,0.3308
REGION1,LNDAGRBC1C02,55,2036,3.997777286
REGION1,LNDAGRBC1C02,51,2037,3.845411952
REGION1,LNDAGRBC1C02,53,2037,18.75016458
REGION1,LNDAGRBC1C02,54,2037,0.3344
REGION1,LNDAGRBC1C02,55,2037,3.997777286
REGION1,LNDAGRBC1C02,51,2038,3.845411952
REGION1,LNDAGRBC1C02,53,2038,18.75016458
REGION1,LNDAGRBC1C02,54,2038,0.3381
REGION1,LNDAGRBC1C02,55,2038,3.997777286
REGION1,LNDAGRBC1C02,51,2039,3.845411952
REGION1,LNDAGRBC1C02,53,2039,18.75016458
REGION1,LNDAGRBC1C02,54,2039,0.3418
REGION1,LNDAGRBC1C02,55,2039,3.997777286
REGION1,LNDAGRBC1C02,51,2040,3.845411952
REGION1,LNDAGRBC1C02,53,2040,18.75016458
REGION1,LNDAGRBC1C02,54,2040,0.3456
REGION1,LNDAGRBC1C02,55,2040,3.997777286
REGION1,LNDAGRBC1C02,51,2041,3.845411952
REGION1,LNDAGRBC1C02,53,2041,18.75016458
REGION1,LNDAGRBC1C02,54,2041,0.3494
REGION1,LNDAGRBC1C02,55,2041,3.997777286
REGION1,LNDAGRBC1C02,51,2042,3.845411952
REGION1,LNDAGRBC1C02,53,2042,18.75016458
REGION1,LNDAGRBC1C02,54,2042,0.3532
REGION1,LNDAGRBC1C02,55,2042,3.997777286
REGION1,LNDAGRBC1C02,51,2043,3.845411952
REGION1,LNDAGRBC1C02,53,2043,18.75016458
REGION1,LNDAGRBC1C02,54,2043,0.3571
REGION1,LNDAGRBC1C02,55,2043,3.997777286
REGION1,LNDAGRBC1C02,51,2044,3.845411952
REGION1,LNDAGRBC1C02,53,2044,18.75016458
REGION1,LNDAGRBC1C02,54,2044,0.361
REGION1,LNDAGRBC1C02,55,2044,3.997777286
REGION1,LNDAGRBC1C02,51,2045,3.845411952
REGION1,LNDAGRBC1C02,53,2045,18.75016458
REGION1,LNDAGRBC1C02,54,2045,0.365
REGION1,LNDAGRBC1C02,55,2045,3.997777286
REGION1,LNDAGRBC1C02,51,2046,3.845411952
REGION1,LNDAGRBC1C02,53,2046,18.75016458
REGION1,LNDAGRBC1C02,54,2046,0.369
REGION1,LNDAGRBC1C02,55,2046,3.997777286
REGION1,LNDAGRBC1C02,51,2047,3.845411952
REGION1,LNDAGRBC1C02,53,2047,18.75016458
REGION1,LNDAGRBC1C02,54,2047,0.3731
REGION1,LNDAGRBC1C02,55,2047,3.997777286
REGION1,LNDAGRBC1C02,51,2048,3.845411952
REGION1,LNDAGRBC1C02,53,2048,18.75016458
REGION1,LNDAGRBC1C02,54,2048,0.3772
REGION1,LNDAGRBC1C02,55,2048,3.997777286
REGION1,LNDAGRBC1C02,51,2049,3.845411952
REGION1,LNDAGRBC1C02,53,2049,18.75016458
REGION1,LNDAGRBC1C02,54,2049,0.3813
REGION1,LNDAGRBC1C02,55,2049,3.997777286
REGION1,LNDAGRBC1C02,51,2050,3.845411952
REGION1,LNDAGRBC1C02,53,2050,18.75016458
REGION1,LNDAGRBC1C02,54,2050,0.3855
REGION1,LNDAGRBC1C02,55,2050,3.997777286
REGION1,LNDAGRBC1C03,51,2020,0.033001329
REGION1,LNDAGRBC1C03,53,2020,0.901359825
REGION1,LNDAGRBC1C03,54,2020,1.8319
REGION1,LNDAGRBC1C03,55,2020,2.231912881
REGION1,LNDAGRBC1C03,51,2021,0.033001329
REGION1,LNDAGRBC1C03,53,2021,0.901359825
REGION1,LNDAGRBC1C03,54,2021,1.852
REGION1,LNDAGRBC1C03,55,2021,2.231912881
REGION1,LNDAGRBC1C03,51,2022,0.033001329
REGION1,LNDAGRBC1C03,53,2022,0.901359825
REGION1,LNDAGRBC1C03,54,2022,1.8724
REGION1,LNDAGRBC1C03,55,2022,2.231912881
REGION1,LNDAGRBC1C03,51,2023,0.033001329
REGION1,LNDAGRBC1C03,53,2023,0.901359825
REGION1,LNDAGRBC1C03,54,2023,1.893
REGION1,LNDAGRBC1C03,55,2023,2.231912881
REGION1,LNDAGRBC1C03,51,2024,0.033001329
REGION1,LNDAGRBC1C03,53,2024,0.901359825
REGION1,LNDAGRBC1C03,54,2024,1.9138
REGION1,LNDAGRBC1C03,55,2024,2.231912881
REGION1,LNDAGRBC1C03,51,2025,0.033001329
REGION1,LNDAGRBC1C03,53,2025,0.901359825
REGION1,LNDAGRBC1C03,54,2025,1.9349
REGION1,LNDAGRBC1C03,55,2025,2.231912881
REGION1,LNDAGRBC1C03,51,2026,0.033001329
REGION1,LNDAGRBC1C03,53,2026,0.901359825
REGION1,LNDAGRBC1C03,54,2026,1.9561
REGION1,LNDAGRBC1C03,55,2026,2.231912881
REGION1,LNDAGRBC1C03,51,2027,0.033001329
REGION1,LNDAGRBC1C03,53,2027,0.901359825
REGION1,LNDAGRBC1C03,54,2027,1.9777
REGION1,LNDAGRBC1C03,55,2027,2.231912881
REGION1,LNDAGRBC1C03,51,2028,0.033001329
REGION1,LNDAGRBC1C03,53,2028,0.901359825
REGION1,LNDAGRBC1C03,54,2028,1.9994
REGION1,LNDAGRBC1C03,55,2028,2.231912881
REGION1,LNDAGRBC1C03,51,2029,0.033001329
REGION1,LNDAGRBC1C03,53,2029,0.901359825
REGION1,LNDAGRBC1C03,54,2029,2.0214
REGION1,LNDAGRBC1C03,55,2029,2.231912881
REGION1,LNDAGRBC1C03,51,2030,0.033001329
REGION1,LNDAGRBC1C03,53,2030,0.901359825
REGION1,LNDAGRBC1C03,54,2030,2.0436
REGION1,LNDAGRBC1C03,55,2030,2.231912881
REGION1,LNDAGRBC1C03,51,2031,0.033001329
REGION1,LNDAGRBC1C03,53,2031,0.901359825
REGION1,LNDAGRBC1C03,54,2031,2.0661
REGION1,LNDAGRBC1C03,55,2031,2.231912881
REGION1,LNDAGRBC1C03,51,2032,0.033001329
REGION1,LNDAGRBC1C03,53,2032,0.901359825
REGION1,LNDAGRBC1C03,54,2032,2.0889
REGION1,LNDAGRBC1C03,55,2032,2.231912881
REGION1,LNDAGRBC1C03,51,2033,0.033001329
REGION1,LNDAGRBC1C03,53,2033,0.901359825
REGION1,LNDAGRBC1C03,54,2033,2.1118
REGION1,LNDAGRBC1C03,55,2033,2.231912881
REGION1,LNDAGRBC1C03,51,2034,0.033001329
REGION1,LNDAGRBC1C03,53,2034,0.901359825
REGION1,LNDAGRBC1C03,54,2034,2.1351
REGION1,LNDAGRBC1C03,55,2034,2.231912881
REGION1,LNDAGRBC1C03,51,2035,0.033001329
REGION1,LNDAGRBC1C03,53,2035,0.901359825
REGION1,LNDAGRBC1C03,54,2035,2.1585
REGION1,LNDAGRBC1C03,55,2035,2.231912881
REGION1,LNDAGRBC1C03,51,2036,0.033001329
REGION1,LNDAGRBC1C03,53,2036,0.901359825
REGION1,LNDAGRBC1C03,54,2036,2.1823
REGION1,LNDAGRBC1C03,55,2036,2.231912881
REGION1,LNDAGRBC1C03,51,2037,0.033001329
REGION1,LNDAGRBC1C03,53,2037,0.901359825
REGION1,LNDAGRBC1C03,54,2037,2.2063
REGION1,LNDAGRBC1C03,55,2037,2.231912881
REGION1,LNDAGRBC1C03,51,2038,0.033001329
REGION1,LNDAGRBC1C03,53,2038,0.901359825
REGION1,LNDAGRBC1C03,54,2038,2.2306
REGION1,LNDAGRBC1C03,55,2038,2.231912881
REGION1,LNDAGRBC1C03,51,2039,0.033001329
REGION1,LNDAGRBC1C03,53,2039,0.901359825
REGION1,LNDAGRBC1C03,54,2039,2.2551
REGION1,LNDAGRBC1C03,55,2039,2.231912881
REGION1,LNDAGRBC1C03,51,2040,0.033001329
REGION1,LNDAGRBC1C03,53,2040,0.901359825
REGION1,LNDAGRBC1C03,54,2040,2.2799
REGION1,LNDAGRBC1C03,55,2040,2.231912881
REGION1,LNDAGRBC1C03,51,2041,0.033001329
REGION1,LNDAGRBC1C03,53,2041,0.901359825
REGION1,LNDAGRBC1C03,54,2041,2.305
REGION1,LNDAGRBC1C03,55,2041,2.231912881
REGION1,LNDAGRBC1C03,51,2042,0.033001329
REGION1,LNDAGRBC1C03,53,2042,0.901359825
REGION1,LNDAGRBC1C03,54,2042,2.3303
REGION1,LNDAGRBC1C03,55,2042,2.231912881
REGION1,LNDAGRBC1C03,51,2043,0.033001329
REGION1,LNDAGRBC1C03,53,2043,0.901359825
REGION1,LNDAGRBC1C03,54,2043,2.356
REGION1,LNDAGRBC1C03,55,2043,2.231912881
REGION1,LNDAGRBC1C03,51,2044,0.033001329
REGION1,LNDAGRBC1C03,53,2044,0.901359825
REGION1,LNDAGRBC1C03,54,2044,2.3819
REGION1,LNDAGRBC1C03,55,2044,2.231912881
REGION1,LNDAGRBC1C03,51,2045,0.033001329
REGION1,LNDAGRBC1C03,53,2045,0.901359825
REGION1,LNDAGRBC1C03,54,2045,2.4081
REGION1,LNDAGRBC1C03,55,2045,2.231912881
REGION1,LNDAGRBC1C03,51,2046,0.033001329
REGION1,LNDAGRBC1C03,53,2046,0.901359825
REGION1,LNDAGRBC1C03,54,2046,2.4346
REGION1,LNDAGRBC1C03,55,2046,2.231912881
REGION1,LNDAGRBC1C03,51,2047,0.033001329
REGION1,LNDAGRBC1C03,53,2047,0.901359825
REGION1,LNDAGRBC1C03,54,2047,2.4614
REGION1,LNDAGRBC1C03,55,2047,2.231912881
REGION1,LNDAGRBC1C03,51,2048,0.033001329
REGION1,LNDAGRBC1C03,53,2048,0.901359825
REGION1,LNDAGRBC1C03,54,2048,2.4884
REGION1,LNDAGRBC1C03,55,2048,2.231912881
REGION1,LNDAGRBC1C03,51,2049,0.033001329
REGION1,LNDAGRBC1C03,53,2049,0.901359825
REGION1,LNDAGRBC1C03,54,2049,2.5158
REGION1,LNDAGRBC1C03,55,2049,2.231912881
REGION1,LNDAGRBC1C03,51,2050,0.033001329
REGION1,LNDAGRBC1C03,53,2050,0.901359825
REGION1,LNDAGRBC1C03,54,2050,2.5435
REGION1,LNDAGRBC1C03,55,2050,2.231912881
REGION1,LNDAGRBC1C04,51,2020,0.869252974
REGION1,LNDAGRBC1C04,53,2020,6.250057365
REGION1,LNDAGRBC1C04,54,2020,0.7471
REGION1,LNDAGRBC1C04,55,2020,2.888007322
REGION1,LNDAGRBC1C04,51,2021,0.869252974
REGION1,LNDAGRBC1C04,53,2021,6.250057365
REGION1,LNDAGRBC1C04,54,2021,0.7554
REGION1,LNDAGRBC1C04,55,2021,2.888007322
REGION1,LNDAGRBC1C04,51,2022,0.869252974
REGION1,LNDAGRBC1C04,53,2022,6.250057365
REGION1,LNDAGRBC1C04,54,2022,0.7637
REGION1,LNDAGRBC1C04,55,2022,2.888007322
REGION1,LNDAGRBC1C04,51,2023,0.869252974
REGION1,LNDAGRBC1C04,53,2023,6.250057365
REGION1,LNDAGRBC1C04,54,2023,0.7721
REGION1,LNDAGRBC1C04,55,2023,2.888007322
REGION1,LNDAGRBC1C04,51,2024,0.869252974
REGION1,LNDAGRBC1C04,53,2024,6.250057365
REGION1,LNDAGRBC1C04,54,2024,0.7806
REGION1,LNDAGRBC1C04,55,2024,2.888007322
REGION1,LNDAGRBC1C04,51,2025,0.869252974
REGION1,LNDAGRBC1C04,53,2025,6.250057365
REGION1,LNDAGRBC1C04,54,2025,0.7891
REGION1,LNDAGRBC1C04,55,2025,2.888007322
REGION1,LNDAGRBC1C04,51,2026,0.869252974
REGION1,LNDAGRBC1C04,53,2026,6.250057365
REGION1,LNDAGRBC1C04,54,2026,0.7978
REGION1,LNDAGRBC1C04,55,2026,2.888007322
REGION1,LNDAGRBC1C04,51,2027,0.869252974
REGION1,LNDAGRBC1C04,53,2027,6.250057365
REGION1,LNDAGRBC1C04,54,2027,0.8066
REGION1,LNDAGRBC1C04,55,2027,2.888007322
REGION1,LNDAGRBC1C04,51,2028,0.869252974
REGION1,LNDAGRBC1C04,53,2028,6.250057365
REGION1,LNDAGRBC1C04,54,2028,0.8155
REGION1,LNDAGRBC1C04,55,2028,2.888007322
REGION1,LNDAGRBC1C04,51,2029,0.869252974
REGION1,LNDAGRBC1C04,53,2029,6.250057365
REGION1,LNDAGRBC1C04,54,2029,0.8244
REGION1,LNDAGRBC1C04,55,2029,2.888007322
REGION1,LNDAGRBC1C04,51,2030,0.869252974
REGION1,LNDAGRBC1C04,53,2030,6.250057365
REGION1,LNDAGRBC1C04,54,2030,0.8335
REGION1,LNDAGRBC1C04,55,2030,2.888007322
REGION1,LNDAGRBC1C04,51,2031,0.869252974
REGION1,LNDAGRBC1C04,53,2031,6.250057365
REGION1,LNDAGRBC1C04,54,2031,0.8427
REGION1,LNDAGRBC1C04,55,2031,2.888007322
REGION1,LNDAGRBC1C04,51,2032,0.869252974
REGION1,LNDAGRBC1C04,53,2032,6.250057365
REGION1,LNDAGRBC1C04,54,2032,0.8519
REGION1,LNDAGRBC1C04,55,2032,2.888007322
REGION1,LNDAGRBC1C04,51,2033,0.869252974
REGION1,LNDAGRBC1C04,53,2033,6.250057365
REGION1,LNDAGRBC1C04,54,2033,0.8613
REGION1,LNDAGRBC1C04,55,2033,2.888007322
REGION1,LNDAGRBC1C04,51,2034,0.869252974
REGION1,LNDAGRBC1C04,53,2034,6.250057365
REGION1,LNDAGRBC1C04,54,2034,0.8708
REGION1,LNDAGRBC1C04,55,2034,2.888007322
REGION1,LNDAGRBC1C04,51,2035,0.869252974
